,popdynamics,lon,lat,center_lon,center_lat
0,4416.38330078125,91.80416666666667,22.46208319871002,91.82083333333331,22.349583198710018
1,4277.00146484375,91.8125,22.46208319871002,,
2,898.5297241210938,91.77916666666668,22.453749865376682,,
3,1311.4151611328125,91.78750000000001,22.453749865376682,,
4,3918.46630859375,91.79583333333333,22.453749865376682,,
5,4425.1494140625,91.80416666666667,22.453749865376682,,
6,4256.83935546875,91.8125,22.453749865376682,,
7,943.237060546875,91.77916666666667,22.445416532043346,,
8,1256.1883544921875,91.7875,22.44541653204335,,
9,3438.958251953125,91.79583333333333,22.445416532043346,,
10,3934.245361328125,91.80416666666666,22.44541653204335,,
11,4171.8076171875,91.8125,22.445416532043346,,
12,937.9773559570312,91.77916666666668,22.437083198710013,,
13,1756.7352294921875,91.78750000000001,22.437083198710017,,
14,3680.027099609375,91.79583333333333,22.437083198710013,,
15,3862.363037109375,91.80416666666667,22.437083198710017,,
16,4090.28271484375,91.8125,22.437083198710013,,
17,8267.3505859375,91.82083333333334,22.437083198710017,,
18,3645.839111328125,91.78750000000001,22.42874986537668,,
19,3674.767578125,91.79583333333333,22.428749865376684,,
20,4055.218017578125,91.80416666666667,22.42874986537668,,
21,4035.9326171875,91.8125,22.428749865376684,,
22,255.0,91.81642156862746,22.43575266649713,,
23,4405.86376953125,91.88749999999999,22.428749865376684,,
24,3700.189208984375,91.78750000000001,22.420416532043348,,
25,3808.012939453125,91.79583333333333,22.420416532043348,,
26,4142.87939453125,91.80416666666667,22.420416532043348,,
27,12338.34765625,91.8125,22.420416532043348,,
28,11639.685546875,91.87916666666668,22.420416532043348,,
29,255.0,91.88749999999999,22.420416532043348,,
30,4271.74169921875,91.78750000000001,22.41208319871001,,
31,4242.8134765625,91.79583333333333,22.412083198710015,,
32,4078.010009765625,91.80416666666667,22.41208319871001,,
33,11920.2021484375,91.8125,22.412083198710015,,
34,25932.005859375,91.82083333333334,22.41208319871001,,
35,11637.9326171875,91.82916666666667,22.412083198710015,,
36,4277.00146484375,91.8375,22.41208319871001,,
37,11650.205078125,91.87916666666668,22.41208319871001,,
38,0.0,91.8875,22.403749865376682,,
39,4403.23388671875,91.79583333333333,22.403749865376682,,
40,11820.2685546875,91.80416666666667,22.403749865376682,,
41,12644.2861328125,91.8125,22.403749865376682,,
42,25764.572265625,91.82083333333334,22.403749865376682,,
43,30449.201171875,91.82916666666667,22.403749865376682,,
44,15247.830078125,91.8375,22.403749865376682,,
45,11903.546875,91.84583333333332,22.403749865376682,,
46,4328.7216796875,91.87916666666668,22.403749865376682,,
47,6687.69091796875,91.79583333333333,22.39541653204335,,
48,11508.193359375,91.80416666666667,22.39541653204335,,
49,25662.009765625,91.8125,22.39541653204335,,
50,42131.83984375,91.82083333333334,22.39541653204335,,
51,25616.42578125,91.82916666666667,22.39541653204335,,
52,25627.822265625,91.8375,22.39541653204335,,
53,15207.505859375,91.84583333333332,22.39541653204335,,
54,13869.79296875,91.85416666666666,22.39541653204335,,
55,30857.703125,91.86249999999998,22.39541653204335,,
56,30567.54296875,91.87083333333332,22.39541653204335,,
57,11836.923828125,91.87916666666668,22.39541653204335,,
58,6138.0537109375,91.78750000000001,22.387083198710016,,
59,11718.5810546875,91.79583333333333,22.387083198710016,,
60,24690.720703125,91.80416666666667,22.387083198710016,,
61,24574.130859375,91.8125,22.387083198710016,,
62,23591.4453125,91.82083333333334,22.387083198710016,,
63,40969.44921875,91.82916666666667,22.387083198710016,,
64,30595.595703125,91.8375,22.387083198710016,,
65,16130.5810546875,91.84583333333332,22.387083198710016,,
66,27254.818359375,91.85416666666666,22.387083198710016,,
67,30637.671875,91.86249999999998,22.387083198710016,,
68,30746.373046875,91.87083333333332,22.387083198710016,,
69,12759.1220703125,91.87916666666668,22.387083198710016,,
70,29471.775390625,91.77916666666667,22.378749865376683,,
71,11545.8876953125,91.7875,22.37874986537668,,
72,4177.0673828125,91.79583333333333,22.378749865376683,,
73,26428.169921875,91.80416666666666,22.37874986537668,,
74,41494.54296875,91.8125,22.378749865376683,,
75,41487.52734375,91.82083333333333,22.37874986537668,,
76,41100.06640625,91.82916666666667,22.378749865376683,,
77,29515.60546875,91.83749999999999,22.37874986537668,,
78,30081.021484375,91.84583333333332,22.378749865376683,,
79,26131.875,91.85416666666669,22.37874986537668,,
80,30699.912109375,91.8625,22.378749865376683,,
81,12003.48046875,91.87083333333334,22.37874986537668,,
82,6921.7470703125,91.76250000000003,22.370416532043347,,
83,29996.8671875,91.77083333333334,22.370416532043343,,
84,29481.41796875,91.77916666666668,22.370416532043347,,
85,24962.470703125,91.78750000000001,22.370416532043343,,
86,12308.5419921875,91.79583333333333,22.370416532043347,,
87,27047.060546875,91.80416666666667,22.370416532043343,,
88,24141.083984375,91.8125,22.370416532043347,,
89,41971.41796875,91.82083333333334,22.370416532043343,,
90,23523.0703125,91.82916666666667,22.370416532043347,,
91,24218.224609375,91.8375,22.370416532043343,,
92,30329.98046875,91.84583333333332,22.370416532043347,,
93,26069.634765625,91.85416666666666,22.370416532043343,,
94,27364.39453125,91.86249999999998,22.370416532043347,,
95,4369.0458984375,91.87083333333332,22.370416532043343,,
96,0.0,91.75416666666665,22.357916532043348,,
97,4250.703125,91.76250000000003,22.362083198710014,,
98,30415.888671875,91.77083333333334,22.362083198710014,,
99,29787.357421875,91.77916666666668,22.362083198710014,,
100,27183.8125,91.78750000000001,22.362083198710014,,
101,26195.8671875,91.79583333333333,22.362083198710014,,
102,24949.322265625,91.80416666666667,22.362083198710014,,
103,24177.025390625,91.8125,22.362083198710014,,
104,41361.296875,91.82083333333334,22.362083198710014,,
105,24650.396484375,91.82916666666667,22.362083198710014,,
106,24207.705078125,91.8375,22.362083198710014,,
107,25799.638671875,91.84583333333332,22.362083198710014,,
108,29895.1796875,91.85416666666666,22.362083198710014,,
109,15408.2509765625,91.86249999999998,22.362083198710014,,
110,4300.669921875,91.87083333333332,22.362083198710014,,
111,4239.30712890625,91.76250000000003,22.353749865376678,,
112,30381.701171875,91.77083333333334,22.35374986537668,,
113,30196.736328125,91.77916666666668,22.353749865376678,,
114,29491.060546875,91.78750000000001,22.35374986537668,,
115,24945.814453125,91.79583333333333,22.353749865376678,,
116,24772.24609375,91.80416666666667,22.35374986537668,,
117,24181.408203125,91.8125,22.353749865376678,,
118,41484.0234375,91.82083333333334,22.35374986537668,,
119,24825.71875,91.82916666666667,22.353749865376678,,
120,25885.546875,91.8375,22.35374986537668,,
121,25959.181640625,91.84583333333332,22.353749865376678,,
122,25783.859375,91.85416666666666,22.35374986537668,,
123,12759.1220703125,91.86249999999998,22.353749865376678,,
124,0.0,91.76250000000002,22.332916532043352,,
125,11674.75,91.77083333333334,22.345416532043348,,
126,29920.6015625,91.77916666666668,22.345416532043348,,
127,27189.072265625,91.78750000000001,22.345416532043348,,
128,24544.326171875,91.79583333333333,22.345416532043348,,
129,41474.37890625,91.80416666666667,22.345416532043348,,
130,41590.09375,91.8125,22.345416532043348,,
131,24219.1015625,91.82083333333334,22.345416532043348,,
132,29156.193359375,91.82916666666667,22.345416532043348,,
133,24764.35546875,91.8375,22.345416532043348,,
134,25839.962890625,91.84583333333332,22.345416532043348,,
135,11716.828125,91.85416666666666,22.345416532043348,,
136,11896.5341796875,91.77083333333334,22.337083198710015,,
137,29729.5,91.77916666666668,22.33708319871002,,
138,29886.4140625,91.78750000000001,22.337083198710015,,
139,41633.921875,91.79583333333333,22.33708319871002,,
140,41918.82421875,91.80416666666667,22.337083198710015,,
141,41233.30859375,91.8125,22.33708319871002,,
142,29936.380859375,91.82083333333334,22.337083198710015,,
143,24802.05078125,91.82916666666667,22.33708319871002,,
144,24367.25,91.8375,22.337083198710015,,
145,24668.8046875,91.84583333333332,22.33708319871002,,
146,11774.6845703125,91.77083333333334,22.328749865376686,,
147,30265.111328125,91.77916666666668,22.328749865376682,,
148,29835.5703125,91.78750000000001,22.328749865376686,,
149,29689.17578125,91.79583333333333,22.328749865376682,,
150,29790.86328125,91.80416666666667,22.328749865376686,,
151,25811.033203125,91.8125,22.328749865376682,,
152,24993.15234375,91.82083333333334,22.328749865376686,,
153,0.0,91.84940476190476,22.333511770138585,,
154,4341.87109375,91.77083333333334,22.32041653204335,,
155,30373.8125,91.77916666666667,22.320416532043346,,
156,12359.3857421875,91.7875,22.32041653204335,,
157,26787.58203125,91.79583333333333,22.320416532043346,,
158,26895.40625,91.80416666666666,22.32041653204335,,
159,26975.177734375,91.8125,22.320416532043346,,
160,0.0,91.82083333333333,22.32041653204335,,
161,7007.6552734375,91.77083333333334,22.312083198710017,,
162,30382.578125,91.77916666666668,22.312083198710013,,
163,15203.123046875,91.78750000000001,22.312083198710017,,
164,11973.67578125,91.79583333333333,22.312083198710013,,
165,0.0,91.80416666666667,22.312083198710017,,
166,10831.447265625,91.77083333333334,22.303749865376684,,
167,30308.06640625,91.77916666666668,22.30374986537668,,
168,26519.337890625,91.78750000000001,22.303749865376684,,
169,255.0,91.83590319361274,22.283540284538336,,
170,0.0,91.79583333333333,22.29541653204335,,
171,0.0,91.77083333333334,22.282916532043348,,
172,30261.60546875,91.77916666666668,22.295416532043348,,
173,26695.537109375,91.78750000000001,22.29541653204335,,
174,30575.43359375,91.77916666666668,22.287083198710015,,
175,29358.69140625,91.78750000000001,22.287083198710015,,
176,11960.5263671875,91.77916666666668,22.27874986537668,,
177,30401.86328125,91.78750000000001,22.278749865376682,,
178,11944.7470703125,91.79583333333333,22.27874986537668,,
179,4426.90283203125,91.77916666666668,22.27041653204335,,
180,30679.75,91.78750000000001,22.270416532043345,,
181,26637.681640625,91.79583333333333,22.27041653204335,,
182,12813.47265625,91.80416666666667,22.270416532043345,,
183,4316.44921875,91.8125,22.27041653204335,,
184,4362.90966796875,91.82083333333334,22.270416532043345,,
185,4487.38916015625,91.77916666666668,22.262083198710016,,
186,11751.015625,91.78750000000001,22.262083198710016,,
187,12801.2001953125,91.79583333333333,22.262083198710016,,
188,12787.173828125,91.80416666666667,22.262083198710016,,
189,4318.20263671875,91.8125,22.262083198710016,,
190,4352.390625,91.82083333333334,22.262083198710016,,
191,0.0,91.82916666666668,22.25374986537668,,
192,2718.381103515625,91.77916666666667,22.253749865376683,,
193,4447.94140625,91.7875,22.25374986537668,,
194,8185.8251953125,91.79583333333333,22.253749865376683,,
195,4425.1494140625,91.80416666666666,22.25374986537668,,
196,4436.54541015625,91.8125,22.253749865376683,,
197,4474.23974609375,91.82083333333333,22.25374986537668,,
198,4440.0517578125,91.78750000000001,22.24541653204335,,
199,4487.38916015625,91.79583333333333,22.245416532043347,,
200,4506.67431640625,91.80416666666667,22.24541653204335,,
201,4468.97998046875,91.8125,22.245416532043347,,
202,4507.55126953125,91.82083333333334,22.24541653204335,,
203,0.0,91.79583333333333,22.237083198710014,,
204,4437.421875,91.80416666666667,22.237083198710017,,
205,0.0,91.81666666666666,22.237083198710014,,
